month_ID,ME_rank10,Re
22,1,0.029371785440434756
22,2,0.02282656650185662
22,3,0.013828419758217532
22,4,0.0012197436608743317
22,5,0.005040339609237205
22,6,-0.00599987109190318
22,7,-0.006796619086920551
22,8,-7.206252268774703e-4
22,9,-0.02024714012632345
22,10,-0.024523085253610213
23,1,0.03950589320820944
23,2,0.05433205391120079
23,3,0.0477602021911572
23,4,0.05405089920658229
23,5,0.04872562937406899
23,6,0.05463141655558785
23,7,0.03172021664048013
23,8,0.04834134540735358
23,9,0.04716103590117584
23,10,0.05581774101832213
24,1,-0.01697373818626544
24,2,-0.03165232765230484
24,3,-0.011463876641745077
24,4,-0.02191211810097952
24,5,-0.012883470882381905
24,6,-0.012645195770807267
24,7,-0.01800751081828417
24,8,-0.01341676187956581
24,9,-0.020026334010793352
24,10,0.007155350209293031
25,1,0.07761149939482181
25,2,0.0976301636561586
25,3,0.08346586453477507
25,4,0.07975461387185391
25,5,0.07792974200607464
25,6,0.08785874905439522
25,7,0.07362092193503224
25,8,0.07611862958914992
25,9,0.06834547864125425
25,10,0.0643162444992877
26,1,-0.005653385912826559
26,2,0.003915317600692951
26,3,0.019528778754796715
26,4,0.005807874830029053
26,5,0.004844340613553766
26,6,-0.004998290983907367
26,7,-0.008797736867891273
26,8,-0.001211590338138701
26,9,0.009165033723980118
26,10,0.0030054987982157345
27,1,0.02325191347084337
27,2,0.01716212931723522
27,3,0.012289006670446958
27,4,0.019629004096155533
27,5,0.002146919777438952
27,6,0.004043013611794861
27,7,0.004701369940099044
27,8,0.004921678251172112
27,9,0.015340551890448697
27,10,-0.013127329399210262
28,1,0.08207313022588492
28,2,0.0772813403634224
28,3,0.07344179293771666
28,4,0.06313961776394268
28,5,0.07075380807035835
28,6,0.06899228722980826
28,7,0.06727128396277718
28,8,0.0675821170476619
28,9,0.07571721515542226
28,10,0.06916070314357756
29,1,0.0050849403777775215
29,2,0.009476498492494373
29,3,0.009329960489711884
29,4,0.021423769254208035
29,5,0.024470252101728374
29,6,0.01847599418018752
29,7,0.011609478580472687
29,8,0.011365686297404897
29,9,0.011123803172872723
29,10,0.024472613485494947
30,1,0.064123074528950455
30,2,0.04729754569157264
30,3,0.049469913530552634
30,4,0.03619421457063719
30,5,0.0419170889136582
30,6,0.03694012736979971
30,7,0.0326594861512552
30,8,0.04815328869020376
30,9,0.048169133903060594
30,10,0.004065110505303813
31,1,0.03532029726355325
31,2,0.031325227797528575
31,3,0.05021048677225716
31,4,0.05134304217234613
31,5,0.036991463854874264
31,6,0.05144405285592298
31,7,0.04706465501302769
31,8,0.0519280326724074
31,9,0.043732872355488235
31,10,0.0632559990723099
32,1,0.02268495371080327
32,2,0.013623624014005898
32,3,0.014514846782853332
32,4,-0.003344838707083892
32,5,-0.011374138497019941
32,6,-0.015625725491134508
32,7,-0.014329898512864068
32,8,-0.01720482047068272
32,9,-0.018445517037030398
32,10,-0.03402765806194514
33,1,0.032154304966437196
33,2,0.009114523325086492
33,3,0.0200812061385632
33,4,0.012347251359952887
33,5,0.006252925000169482
33,6,0.02212253623446953
33,7,0.0031820879526493285
33,8,0.025876898181337045
33,9,0.015156767642082123
33,10,0.0012024267420726138
34,1,-0.09756375526939748
34,2,-0.0961977587102013
34,3,-0.08558110036170766
34,4,-0.08449569541912168
34,5,-0.07161736140210881
34,6,-0.07716664527025001
34,7,-0.07992323661942279
34,8,-0.0808284209273549
34,9,-0.08600979662139684
34,10,-0.08032760274540254
35,1,-0.05027048489542257
35,2,-0.05801658262309245
35,3,-0.057375057034386584
35,4,-0.06044863596660379
35,5,-0.06669047200687596
35,6,-0.06263758071202469
35,7,-0.06854772998290146
35,8,-0.08669391687953423
35,9,-0.07181831379439856
35,10,-0.08470800466990387
36,1,0.081225511702786
36,2,0.08544568742221395
36,3,0.0840029093545378
36,4,0.07544241577144171
36,5,0.10578611499624517
36,6,0.0986891037790387
36,7,0.10670995039673951
36,8,0.10482799961397192
36,9,0.1209374040371019
36,10,0.11432554166399532
37,1,0.016748817584354845
37,2,8.450883860317916e-4
37,3,0.01531726073545645
37,4,0.02081340276254088
37,5,0.010702596430324418
37,6,0.009519662180418111
37,7,0.021366176811439926
37,8,0.013049110760474079
37,9,0.006016532018277242
37,10,0.014388385892378293
38,1,-0.023386623597941622
38,2,-0.0023226961833426375
38,3,-0.012817430130002331
38,4,-0.02170604831109085
38,5,-0.020374040147216825
38,6,-0.008847520818529507
38,7,-0.014687019333690871
38,8,-0.012911048107350326
38,9,-0.01754524242587707
38,10,-0.026072236004959094
39,1,-0.05379055869200345
39,2,-0.05129668338236917
39,3,-0.05247700435256776
39,4,-0.05404152657890121
39,5,-0.0578888394342092
39,6,-0.06015856620583229
39,7,-0.07349806445488077
39,8,-0.07037932874266041
39,9,-0.07631806855651382
39,10,-0.0635317390377074
40,1,-0.03168154288773674
40,2,-0.04362649219051807
40,3,-0.0471600648169041
40,4,-0.05308822892145708
40,5,-0.06646742525764311
40,6,-0.06540928219991217
40,7,-0.07951824165703152
40,8,-0.07187154859021386
40,9,-0.07890637234032696
40,10,-0.09421563019749764
41,1,0.05680227193626512
41,2,0.050681284840185525
41,3,0.04514092779759887
41,4,0.03950260039686498
41,5,0.04369143283101132
41,6,0.043022169114125965
41,7,0.05014775313534396
41,8,0.0451933809128027
41,9,0.038678320433382624
41,10,0.035063468722154725
42,1,-0.010385848234455191
42,2,-0.00482222428491643
42,3,-0.0048787352654145605
42,4,-0.009307324235854739
42,5,-0.003027329606196073
42,6,-0.008566909235091224
42,7,-0.01222669274912527
42,8,-0.017867404587219936
42,9,-0.021563078371730344
42,10,-0.017029372618255708
43,1,0.0058795762998828565
43,2,0.0072020230703153665
43,3,0.0022032394283725033
43,4,0.01506449773917076
43,5,0.020441069628736864
43,6,0.013332820208340075
43,7,0.021965065503676003
43,8,0.020827403958646924
43,9,0.028670482246182117
43,10,0.0395748137330942
44,1,-0.03791562751229099
44,2,-0.04617616260043531
44,3,-0.06388567664393972
44,4,-0.07140747850067095
44,5,-0.06516691285655335
44,6,-0.07077016255599095
44,7,-0.06922805086276526
44,8,-0.06756813068360835
44,9,-0.09397208849542986
44,10,-0.08897870404316369
45,1,0.01314086858047199
45,2,0.0024244088766587576
45,3,0.03732127694000242
45,4,0.04208196684105055
45,5,0.031819524419975445
45,6,0.03881195388243154
45,7,0.04033699773082613
45,8,0.03320007026296427
45,9,0.03995406473996675
45,10,0.05469001124276217
46,1,0.0243402847417161
46,2,0.024901132880456107
46,3,0.028683443411075194
46,4,0.026410610245015446
46,5,0.012399397075834335
46,6,0.006874174021096096
46,7,-8.519098843364911e-4
46,8,-0.0032401713033426167
46,9,-0.012115554830982549
46,10,-0.007303616731873103
47,1,8.691456882069372e-4
47,2,0.005260854195418067
47,3,0.007843711803382706
47,4,-0.01023496110143024
47,5,-1.9189749236287682e-4
47,6,0.003528699667473051
47,7,-0.0017176307611682321
47,8,-0.0010745810012294129
47,9,-7.985928737890214e-4
47,10,-3.8161802845210175e-4
48,1,0.02549336975280684
48,2,0.021157415317628145
48,3,0.06633314923308628
48,4,0.05622022836680977
48,5,0.05312060958090569
48,6,0.03122792485390202
48,7,0.043195198019387523
48,8,0.033514924519855716
48,9,0.045740177510158395
48,10,0.0549872362025
49,1,0.032764858095321224
49,2,0.03680710102151564
49,3,0.04996135686050265
49,4,0.05723174506608902
49,5,0.061350556629796445
49,6,0.053158235702690834
49,7,0.04955107616541788
49,8,0.012914148389481789
49,9,0.03264217233040667
49,10,0.044846435428662505
50,1,0.026888675771843465
50,2,0.022322334898556322
50,3,0.03451701343579953
50,4,0.03644766075258472
50,5,0.04845274130634989
50,6,0.044930183264226924
50,7,0.05079072603348364
50,8,0.03233076928574042
50,9,0.04116563956910612
50,10,0.04015310216936687
51,1,0.07757867438551812
51,2,0.06153559106324339
51,3,0.051594727546701115
51,4,0.06172420391497187
51,5,0.05407474814126004
51,6,0.03090536414329772
51,7,0.016033550928024675
51,8,0.015892659468230718
51,9,-0.008930063387125898
51,10,0.0075443859703718495
52,1,0.026037505622138513
52,2,0.03293290161789457
52,3,0.03660397496125344
52,4,0.045302723944344855
52,5,0.025893097283201882
52,6,0.034776000914520405
52,7,0.021776826775460594
52,8,-0.002072885311075896
52,9,0.006787568040075731
52,10,-0.003502152936370643
53,1,-0.004043159535725434
53,2,0.0017325932064499558
53,3,0.015773897822383934
53,4,0.0027941214714660725
53,5,-0.01271340926511962
53,6,-0.008867620593984594
53,7,-0.014869169026974187
53,8,-0.012106561336732815
53,9,-0.019301371230762955
53,10,-0.010759068891415495
54,1,-0.023410184596994024
54,2,-0.022758667377042626
54,3,-0.009160054045922182
54,4,-0.008357969689377649
54,5,0.006260307783094002
54,6,0.02566575709060431
54,7,0.0019230315072948892
54,8,0.0065412418494279366
54,9,0.016648790222065203
54,10,0.00634125081869013
55,1,0.05859942475385262
55,2,0.0864338270983914
55,3,0.05966584893514719
55,4,0.05692413766241587
55,5,0.034706058481530674
55,6,0.04961046059633025
55,7,0.03006578499358359
55,8,0.03935804982310601
55,9,0.02762989281514439
55,10,0.015619621907278036
56,1,0.05017926957655667
56,2,0.05217072023628234
56,3,0.04540303361780639
56,4,0.026364444714430845
56,5,0.029050944652807574
56,6,0.0171533366027012
56,7,0.020252436952651123
56,8,0.041862842332572876
56,9,0.024978713302780838
56,10,0.017725808235182362
57,1,0.0527028384762904
57,2,0.046778420147324896
57,3,0.04660301179988406
57,4,0.03685875726683346
57,5,0.04843073950280789
57,6,0.023191479018839493
57,7,0.021078461397396303
57,8,0.008055052787238571
57,9,-0.007293414459870879
57,10,0.006754543988946599
58,1,0.009021347630210208
58,2,0.006112487178522474
58,3,0.011072260143887765
58,4,0.0034164707830368754
58,5,-0.007591650220926526
58,6,-0.004091904732759083
58,7,-0.012603066285745486
58,8,-0.00993380102237614
58,9,-0.01596722222066403
58,10,-0.014989279576962987
59,1,0.015694347045993512
59,2,0.008284093156654558
59,3,0.023845381381021803
59,4,0.023526188063808018
59,5,0.018399473941759902
59,6,0.017287938466285346
59,7,0.014105730819389766
59,8,0.0011425299143225922
59,9,0.01744675634260454
59,10,0.03434119332306616
60,1,0.06909807224772636
60,2,0.08361116256147455
60,3,0.08976609060696905
60,4,0.09711325653991745
60,5,0.07523439391171588
60,6,0.089446125667643
60,7,0.08289479250313833
60,8,0.05316437432597628
60,9,0.06357962893917964
60,10,0.06099221531980599
61,1,0.018933539757402053
61,2,0.025818526574879725
61,3,0.028647238187295466
61,4,0.023783258924771275
61,5,0.026756507578468938
61,6,0.014220872612343746
61,7,0.01821459780285455
61,8,0.010322387913081507
61,9,0.016846310769419687
61,10,0.022215057679615513
62,1,0.006637504925557227
62,2,-8.090717301690456e-4
62,3,-0.009712221136321171
62,4,-0.003049624172372333
62,5,0.010467790859813282
62,6,0.00522380163926527
62,7,-3.6579690903371396e-4
62,8,-0.014256195022298183
62,9,-0.007730264988816155
62,10,-0.004971627525162058
63,1,0.10053370525695689
63,2,0.08549159150207203
63,3,0.06986974118434505
63,4,0.08459775641740766
63,5,0.07366408325279686
63,6,0.04343211767697084
63,7,0.04395637768358798
63,8,0.017628663517479545
63,9,0.013530964239583292
63,10,0.0010451042589791483
64,1,-0.010166219603687248
64,2,-0.01065086480188803
64,3,-0.0205561831606735
64,4,-0.0257774971674814
64,5,-0.03498158985007584
64,6,-0.0288072422025591
64,7,-0.04062307587524134
64,8,-0.03403417610817029
64,9,-0.03183337773635738
64,10,-0.04873104329944667
65,1,-0.010430262954651643
65,2,-0.022188583515067944
65,3,-0.02042223755763923
65,4,-0.037552685798910086
65,5,-0.033246090246070864
65,6,-0.035257066365311625
65,7,-0.019641808927509878
65,8,-0.0324156175341336
65,9,-0.028435493188473458
65,10,-0.038275314329037066
66,1,-0.02761612341692776
66,2,-0.020022930804858646
66,3,-0.009330897109440869
66,4,-0.0020873260365818686
66,5,0.01584868471429768
66,6,0.01364164470425721
66,7,0.022215932816874052
66,8,0.016736553256080214
66,9,0.015640062175077702
66,10,0.044158211235060855
67,1,0.009533250459252364
67,2,0.0015138989749271903
67,3,8.965044965961824e-4
67,4,-0.002843085384616382
67,5,-0.016317166792982167
67,6,-0.0041929488099821145
67,7,-0.016723311889122298
67,8,-0.014605478372916635
67,9,-0.021109088783286312
67,10,-0.03993058043710924
68,1,-0.031021522525457135
68,2,-0.02507834420348208
68,3,-0.04344491022966851
68,4,-0.025857235664608888
68,5,-0.0360581143002822
68,6,-0.02405754720293643
68,7,-0.029562345082412726
68,8,-0.026712581514236736
68,9,-0.006431995785661069
68,10,-0.009108414030927818
69,1,0.0164229338687514
69,2,0.012757274156487681
69,3,0.015087598752169766
69,4,0.027702640119772453
69,5,0.029316068929435793
69,6,0.02561842642897771
69,7,0.016968644047145525
69,8,0.0176423781248569
69,9,0.013710845996310228
69,10,0.02348356008856944
70,1,0.037032037007177714
70,2,0.03070006864216885
70,3,0.03192636719899548
70,4,0.008406207475834196
70,5,1.7413831855363863e-4
70,6,0.008911589445925513
70,7,-0.006752277230436597
70,8,-1.8413725786001927e-4
70,9,-0.00203826176043495
70,10,-0.02617296812114159
71,1,-0.007083859629135951
71,2,0.001045196953191276
71,3,-0.0016445787044156866
71,4,0.02867847562561762
71,5,0.02669456182502348
71,6,0.04450394566189995
71,7,0.03819783503175107
71,8,0.0373941534214794
71,9,0.059000686383535235
71,10,0.05082020031104571
72,1,-0.07914602245008273
72,2,-0.07568593721789811
72,3,-0.07726410129596432
72,4,-0.08841679078087246
72,5,-0.08791781002657559
72,6,-0.09123246625449304
72,7,-0.08808224739876684
72,8,-0.10992972585536814
72,9,-0.11315953325701228
72,10,-0.10590021801609528
